Entity,Code,Year,Literacy
Afghanistan,AFG,2015,38.168041
Albania,ALB,2015,97.553902
Algeria,DZA,2015,79.608398
Angola,AGO,2015,71.164162
Argentina,ARG,2015,98.089973
Armenia,ARM,2015,99.768417
Aruba,ABW,2015,97.5242
Azerbaijan,AZE,2015,99.80526
Bahrain,BHR,2015,95.717262
Bangladesh,BGD,2015,61.493832
Belarus,BLR,2015,99.722038
Belize,BLZ,2015,82.776817
Benin,BEN,2015,38.44714
Bhutan,BTN,2015,63.906818
Bolivia,BOL,2015,95.141922
Bosnia and Herzegovina,BIH,2015,98.485764
Botswana,BWA,2015,88.224411
Brazil,BRA,2015,92.586807
Brunei,BRN,2015,96.656532
Bulgaria,BGR,2015,98.38858
Burkina Faso,BFA,2015,37.7467
Burundi,BDI,2015,85.496094
Cambodia,KHM,2015,78.34594
Cameroon,CMR,2015,74.98558
Cape Verde,CPV,2015,88.465424
Central African Republic,CAF,2015,36.752609
Chad,TCD,2015,40.018242
Chile,CHL,2015,96.627548
China,CHN,2015,96.357452
Colombia,COL,2015,94.577057
Comoros,COM,2015,78.13739
Congo,COG,2015,79.311172
Costa Rica,CRI,2015,97.647247
Cote d'Ivoire,CIV,2015,43.26532
Croatia,HRV,2015,99.272591
Cuba,CUB,2015,99.710716
Cyprus,CYP,2015,99.059776
Democratic Republic of Congo,COD,2015,77.221672
Dominican Republic,DOM,2015,92.465424
Ecuador,ECU,2015,94.515472
Egypt,EGY,2015,75.842621
El Salvador,SLV,2015,87.648216
Equatorial Guinea,GNQ,2015,95.195663
Eritrea,ERI,2015,73.845253
Estonia,EST,2015,99.823509
Eswatini,SWZ,2015,87.470192
Ethiopia,ETH,2015,49.031521
Gabon,GAB,2015,83.237877
Gambia,GMB,2015,55.572762
Georgia,GEO,2015,99.759621
Ghana,GHA,2015,76.575897
Greece,GRC,2015,95.29287
Guam,GUM,2015,99.78904
Guatemala,GTM,2015,79.074211
Guinea,GIN,2015,30.47279
Guinea-Bissau,GNB,2015,59.77285
Guyana,GUY,2015,87.535316
Haiti,HTI,2015,60.68935
Honduras,HND,2015,88.424583
Hungary,HUN,2015,99.380882
India,IND,2015,72.225304
Indonesia,IDN,2015,95.437683
Iran,IRN,2015,87.172531
Iraq,IRQ,2015,79.721764
Italy,ITA,2015,99.015793
Jamaica,JAM,2015,88.499901
Jordan,JOR,2015,98.014351
Kazakhstan,KAZ,2015,99.787849
Kenya,KEN,2015,78.023399
Kuwait,KWT,2015,96.117706
Kyrgyzstan,KGZ,2015,99.50132
Laos,LAO,2015,79.867462
Latvia,LVA,2015,99.892693
Lebanon,LBN,2015,94.051102
Lesotho,LSO,2015,79.360931
Liberia,LBR,2015,47.60014
Libya,LBY,2015,91.38887
Lithuania,LTU,2015,99.82328
Macao,MAC,2015,96.2276
Madagascar,MDG,2015,64.656303
Malawi,MWI,2015,65.963829
Malaysia,MYS,2015,94.636993
Maldives,MDV,2015,99.321022
Mali,MLI,2015,33.068871
Malta,MLT,2015,94.066612
Marshall Islands,MHL,2015,98.265083
Mauritania,MRT,2015,52.123562
Mauritius,MUS,2015,90.616043
Mexico,MEX,2015,94.545593
Moldova,MDA,2015,99.244392
Mongolia,MNG,2015,98.367638
Montenegro,MNE,2015,98.719948
Morocco,MAR,2015,71.710548
Mozambique,MOZ,2015,58.836552
Myanmar,MMR,2015,93.09005
Namibia,NAM,2015,90.820503
Nepal,NPL,2015,64.663643
New Caledonia,NCL,2015,96.93782
Nicaragua,NIC,2015,82.471848
Niger,NER,2015,19.1026
Nigeria,NGA,2015,59.568081
North Korea,PRK,2015,99.999237
North Macedonia,MKD,2015,97.843758
Oman,OMN,2015,93.971649
Pakistan,PAK,2015,56.440311
Palau,PLW,2015,99.523972
Palestine,PSE,2015,96.668037
Panama,PAN,2015,95.038231
Papua New Guinea,PNG,2015,63.433491
Paraguay,PRY,2015,95.53611
Peru,PER,2015,94.374352
Philippines,PHL,2015,96.618027
Poland,POL,2015,99.787422
Portugal,PRT,2015,95.428108
Puerto Rico,PRI,2015,93.329422
Qatar,QAT,2015,97.757088
Romania,ROU,2015,98.757027
Russia,RUS,2015,99.719566
Rwanda,RWA,2015,71.2435
Samoa,WSM,2015,99.015007
Sao Tome and Principe,STP,2015,91.747108
Saudi Arabia,SAU,2015,94.842369
Senegal,SEN,2015,55.624851
Serbia,SRB,2015,98.002892
Seychelles,SYC,2015,95.321083
Sierra Leone,SLE,2015,48.4319
Singapore,SGP,2015,96.774628
Slovenia,SVN,2015,99.71476
South Africa,ZAF,2015,94.597939
South Sudan,SSD,2015,31.97625
Spain,ESP,2015,98.11451
Sri Lanka,LKA,2015,92.614166
Sudan,SDN,2015,58.601318
Suriname,SUR,2015,95.538986
Syria,SYR,2015,86.303932
Tajikistan,TJK,2015,99.781052
Tanzania,TZA,2015,80.359497
Thailand,THA,2015,93.983017
Timor,TLS,2015,64.066139
Togo,TGO,2015,66.53759
Tonga,TON,2015,99.397858
Trinidad and Tobago,TTO,2015,98.969582
Tunisia,TUN,2015,81.054192
Turkey,TUR,2015,95.688103
Turkmenistan,TKM,2015,99.692932
Uganda,UGA,2015,73.809837
Ukraine,UKR,2015,99.764107
United Arab Emirates,ARE,2015,92.986366
Uruguay,URY,2015,98.442101
Uzbekistan,UZB,2015,99.995193
Vanuatu,VUT,2015,85.058678
Venezuela,VEN,2015,95.399246
Vietnam,VNM,2015,94.514267
Yemen,YEM,2015,69.961952
Zambia,ZMB,2015,85.117264
Zimbabwe,ZWE,2015,86.873482
