country,value
Afghanistan_christians,30000
Albania_christians,580000
Algeria_christians,60000
American Samoa_christians,50000
Andorra_christians,70000
Angola_christians,17270000
Anguilla_christians,10000
Antigua and Barbuda_christians,80000
Argentina_christians,34420000
Armenia_christians,3050000
Aruba_christians,100000
Australia_christians,14980000
Austria_christians,6750000
Azerbaijan_christians,280000
Bahamas_christians,330000
Bahrain_christians,180000
Bangladesh_christians,450000
Barbados_christians,260000
Belarus_christians,6830000
Belgium_christians,6880000
Belize_christians,270000
Benin_christians,4690000
Bermuda_christians,50000
Bhutan_christians,5000
Bolivia_christians,9330000
Bosnia and Herzegovina_christians,1970000
Botswana_christians,1450000
Brazil_christians,173300000
British Virgin Islands_christians,20000
Brunei_christians,40000
Bulgaria_christians,6150000
Burkina Faso_christians,3710000
Burundi_christians,7670000
Cambodia_christians,50000
Cameroon_christians,13780000
Canada_christians,23470000
Cape Verde_christians,440000
Cayman Islands_christians,50000
Central African Republic_christians,3940000
Chad_christians,4560000
Chile_christians,15300000
China_christians,68410000
Colombia_christians,42810000
Comoros_christians,5000
Cook Islands_christians,20000
Costa Rica_christians,4230000
Croatia_christians,4110000
Cuba_christians,6670000
Curacao_christians,140000
Cyprus_christians,810000
Czech Republic_christians,2450000
Denmark_christians,4630000
Djibouti_christians,20000
Dominica_christians,70000
Dominican Republic_christians,8740000
DR Congo_christians,63210000
Ecuador_christians,13610000
Egypt_christians,4120000
El Salvador_christians,5460000
Equatorial Guinea_christians,620000
Eritrea_christians,3310000
Estonia_christians,540000
Eswatini_christians,1040000
Ethiopia_christians,52070000
Falkland Islands_christians,5000
Faroe Islands_christians,50000
Fiji_christians,550000
Finland_christians,4300000
France_christians,39560000
French Guiana_christians,200000
French Polynesia_christians,250000
Gabon_christians,1150000
Gambia_christians,80000
Georgia_christians,3850000
Germany_christians,56540000
Ghana_christians,18260000
Gibraltar_christians,30000
Greece_christians,10010000
Greenland_christians,50000
Grenada_christians,100000
Guadeloupe_christians,440000
Guam_christians,170000
Guatemala_christians,13690000
Guinea_christians,1090000
Guinea-Bissau_christians,300000
Guyana_christians,500000
Haiti_christians,8690000
Honduras_christians,6660000
Hong Kong_christians,1010000
Hungary_christians,8090000
Iceland_christians,300000
India_christians,31130000
Indonesia_christians,23660000
Iran_christians,110000
Iraq_christians,270000
Ireland_christians,4110000
Isle of Man_christians,70000
Israel_christians,150000
Italy_christians,50440000
Ivory Coast_christians,8710000
Jamaica_christians,2120000
Japan_christians,2030000
Jordan_christians,130000
Kazakhstan_christians,3970000
Kenya_christians,34340000
Kiribati_christians,90000
Kuwait_christians,390000
Kyrgyzstan_christians,610000
Laos_christians,90000
Latvia_christians,1260000
Lebanon_christians,1620000
Lesotho_christians,2100000
Liberia_christians,3430000
Libya_christians,170000
Liechtenstein_christians,30000
Lithuania_christians,2980000
Luxembourg_christians,360000
Macau_christians,40000
Madagascar_christians,17680000
Malawi_christians,12320000
Malaysia_christians,2670000
Maldives_christians,5000
Mali_christians,370000
Malta_christians,400000
Marshall Islands_christians,50000
Martinique_christians,390000
Mauritania_christians,5000
Mauritius_christians,420000
Mayotte_christians,5000
Mexico_christians,107910000
Micronesia_christians,110000
Moldova_christians,3480000
Monaco_christians,30000
Mongolia_christians,60000
Montenegro_christians,490000
Montserrat_christians,5000
Morocco_christians,20000
Mozambique_christians,13260000
Myanmar_christians,3750000
Namibia_christians,2230000
Nauru_christians,5000
Nepal_christians,140000
Netherlands_christians,8410000
New Caledonia_christians,210000
New Zealand_christians,2490000
Nicaragua_christians,4970000
Niger_christians,120000
Nigeria_christians,78050000
Niue_christians,5000
North Korea_christians,480000
Northern Mariana Islands_christians,40000
Norway_christians,4140000
Oman_christians,180000
Pakistan_christians,2750000
Palau_christians,20000
Palestine_christians,100000
Panama_christians,3270000
Papua New Guinea_christians,6800000
Paraguay_christians,6250000
Peru_christians,27780000
Philippines_christians,86370000
Poland_christians,36100000
Portugal_christians,9810000
Puerto Rico_christians,3630000
Qatar_christians,240000
Republic of the Congo_christians,3470000
Reunion_christians,740000
Romania_christians,21380000
Russia_christians,104750000
Rwanda_christians,9920000
Saint Kitts and Nevis_christians,50000
Saint Pierre and Miquelon_christians,5000
Saint Vincent and the Grenadines_christians,100000
Samoa_christians,180000
